moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Citadel.one,CERBERUS,1114357934,1970-01-01T00:00:00Z,cerberusvaloper16rzknyz8xwcvt5eaw7g0kh0fv2rsa4naeqmugz,09453B93077413DC0BAEC6F0E6873E086750C6C3,cerberusvalcons1p9znhyc8wsfaczawcmcwdpe7ppn4p3krskyyx7,CsLe2DDDKjbzDUEAmqrJmtXDA43vldSALe5PENIwXBI=
Stakie McStakeface,CERBERUS,78997871,2022-09-25T14:22:46.167822104Z,cerberusvaloper162dw6l8qcejyhaq5sq73ah4ld3g4r0ngvwpmfq,0AB42788FF3D9D50AD4BE47E2C5EC154B9DDD517,cerberusvalcons1p26z0z8l8kw4pt2tu3lzchkp2juam4ghh3x3gt,B3w6DvEycHtQRudZmT6w5A5Py8bMEWwgYpXiZKx0QpY=
StakeLab,CERBERUS,1182950713,1970-01-01T00:00:00Z,cerberusvaloper16cfkt9n0pcftg0ky3rk9aegqdp383uwge38rdl,A3B8563433251C288BDB84DC81EC0DA8E95CFCB1,cerberusvalcons15wu9vdpny5wz3z7msnwgrmqd4r54el936avwdd,fIxd2+K8JU+CwZRaWLg9kA4RBDn+zwWYHauo10oB6LY=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Stakewolle.com | Auto-compound,CERTIK,2037882,2022-11-10T21:28:52.299847566Z,certikvaloper1qy7jncf45lluxaya5jaxf9r284jnmzz5fw2egh,03A8233AB8077B70633EF9EBEC1191D3E6437033,certikvalcons1qw5zxw4cqaahqce7l847cyv360nyxupnrt2xps,PUJsxnSHlzSWAhlT5gdMuEdT/RzYMCKozuqZl+d2d/w=
Stakin,CERTIK,480553,2022-07-10T19:20:42.408866645Z,certikvaloper1xv6jr3mdu32rukec5af34cylmmw9r84v8jakzj,B08C4F95439FDCE77010A31BF69B605C9D47C312,certikvalcons1kzxyl92rnlwwwuqs5vdldxmqtjw50scj50zdqt,bf298OHO53w7K9ajNT/XRdTzHErs/wuxi7hysnCGsRU=
StakeMachine,CERTIK,11600,2022-11-09T12:08:58.633070929Z,certikvaloper1x6c2pxke9hh0wzdvmwj6em3vhvwzxsm8tqms4e,B6F2B84CC16313D13BAA7A2968C3CC6EEF66BC9C,certikvalcons1kmetsnxpvvfazwa20g5k3s7vdmhkd0yuckc56h,AS8VItZHCOb3pm8dk20WfemFXeEBs2q+OBzrvy7h2R8=
polkachu.com,CERTIK,13067,1970-01-01T00:00:00Z,certikvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p434ez9,0D17EB727D58C2A92EBB734A01F8A1A3B4F61691,certikvalcons1p5t7kunatrp2jt4mwd9qr79p5w60v953fwwfl3,grVo9hmFra2RM/9MD+4emUY+a0PaZEJaLBkOdnewXVM=
StakeWithUs,CERTIK,1237590,2021-10-27T22:56:45.939510188Z,certikvaloper1jlednjxak55pekp8ewg225wdy5wc9c5t80yamg,7EBACC562228A6D3B5CB2E31B8822100E490D18B,certikvalcons106avc43z9znd8dwt9ccm3q3pqrjfp5vtq2wwtc,/d49uWObl9sGN9Ty1T8gGe6M/c2SR7OMZgEIqOFf5Co=
StakeBowlNode,CERTIK,600179,1970-01-01T00:00:00Z,certikvaloper14vzc8a8ed53yu408fxg9cunkktt84kmv5xm0hd,BFF4F9C703BF8930B8A02B9E579F910B2FD7D207,certikvalcons1hl60n3crh7ynpw9q9w0908u3pvha05s8c09p7a,+qbyan6HkRK9DR8lwzf5m63axq/2I6t1pdVZkcKtxes=
StakeLab,CERTIK,2445084,2022-01-20T04:58:21.469397897Z,certikvaloper1795d6km32m8qtquepatf7npean9dgvrpr3le7q,3FFCA268FE03EA7A303ADA4F4041CFDA340E51EF,certikvalcons18l72y687q0485vp6mf85qsw0mg6qu50032xa2q,JD60r7atYJN7qWA8mQ3dnT2A89bTRkiCZgBWC5HDaFE=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Stakecito,CHIHUAHUA,1289596162,1970-01-01T00:00:00Z,chihuahuavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qshf22j,A28324150760E161ABE13B98C89473169E1847BD,chihuahuavalcons152pjg9g8vrskr2lp8wvv39rnz60ps3aaul6t34,pP952PAg3HfSQU33yYgniJ7lrX/cl6HwFInjhtymwDo=
