chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
EVMOS,67,350463790029591403334729,1970-01-01T00:00:00Z,Klub Staking,evmosvaloper1rvsmc4k7ay8hc6nlz50lw8hskygvdptmwr3rdl,62C599C2F224C27260CB7C20B479F0E77016C4DE
EVMOS,29,940052852042739269633926,1970-01-01T00:00:00Z,Stakely.io,evmosvaloper19fxanpnjlggzuur3m3x0puk5ez7j9lrttexwsw,87EEF8BD85692D68C1632A4AEFCF642E62B4D741
EVMOS,12,1918038549589124548952431,1970-01-01T00:00:00Z,polkachu.com,evmosvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y969xmt8hz,B6C3DB906FAEF2C8758D1881386E615E8432A91C
EVMOS,7,2840312262848653937182115,1970-01-01T00:00:00Z,Citadel.one,evmosvaloper1p5k54qk9jdamvw4r756g7dxsjarf6p0l3huk84,F2F7F5FC0E505FED0DB3306A669DA888E669959C
EVMOS,174,1352062200997536924128,1970-01-01T00:00:00Z,Legion Nodes,evmosvaloper1uc2v23g8cha0m6kd2ghwn766fyccf0nmfw3prt,E5AEFA99F4AD8049B6A97F9B9E416894BCF1CADB
EVMOS,75,322663201878582272817185,2022-05-23T02:02:58.473667020Z,StakeLab,evmosvaloper1f6m9d94lkenw9fy5wmytatt76l849kx6ugdz70,43B7ABBD8A7DDC5C248E14E19EB8CE0C33FAE04A
EVMOS,34,866233281481353034601863,1970-01-01T00:00:00Z,Bro_n_Bro,evmosvaloper1ce4vh0e5kanlgc7z0rhcemvd8erjnfzcyfecl7,6C563B1CEEC386D9A33547B5ADEA62074A3AE442
EVMOS,83,290315525122846661190554,1970-01-01T00:00:00Z,StakeWithUs,evmosvaloper1jxruqmfurgxrem4phvaqxkvprxa6fr0ncg3t88,EC470FD9C84B401A4F152BFB4F19734013CD1A26
EVMOS,76,321926711285415443316586,1970-01-01T00:00:00Z,Chorus One,evmosvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g86tx29,F0FBF276F32238345FA3959F5F031B2E7869E073
EVMOS,36,843392356606712853291690,1970-01-01T00:00:00Z,Stakin,evmosvaloper1sq9ggymzx02vcp7kf6yyar83scfm4r22swu673,5000FB04E89458D6E885228B3140EAE82EA44BAC
EVMOS,71,330781092506324574582902,1970-01-01T00:00:00Z,AutoStake 🛡️ Slash Protected,evmosvaloper1shvcjzhcxau6qtlz9w82a646ecwp4hq7ayqt0w,9B7E37F58B238B506032605B8A8B3D5932021117
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
FETCH.AI,33,1768641836664660565070970,1970-01-01T00:00:00Z,StakeLab,fetchvaloper1mr8tqsr3cjp4vh30j8h32uluh5nhnjnh8lkef0,FA2EDF8CFD6791E6A2E886A195095C7FEB7EF9A0
FETCH.AI,19,3967783760665255175155680,1970-01-01T00:00:00Z,Citadel.one,fetchvaloper169hpfaau6ey8avzr6dk30f2y6j3gv8x5ds9657,9EBC7EF8F41053282A441020534008BA87A30CBF
FETCH.AI,46,474995636307533754881343,1970-01-01T00:00:00Z,polkachu.com,fetchvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pn5mfmy,16AAED34868E0A5FAF47744FE0041C885E08D30E
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
GRAVITY BRIDGE,41,7111017592718,2022-09-07T03:16:01.748757321Z,StakeLab,gravityvaloper1d63hvdgwy64sfex2kyujd0xyfhmu7r7cgxt5ru,7F40C07D8DAFDD91FBFD2BD671A5D15ABD2F3258
GRAVITY BRIDGE,132,265847521380,1970-01-01T00:00:00Z,BlockHunters 🎯,gravityvaloper1symf474wnypes2d3mecllqk6l26rwz8meal7ll,1DC214B089EE1CE316DED69074AD6C191A137F9C
GRAVITY BRIDGE,46,5161521556202,1970-01-01T00:00:00Z,Bro_n_Bro,gravityvaloper1vyd4k5j636erx5y5kdqghdu3rfjtwc48vdc7r6,1AA30CA27AC3B8A32CA5B410075E93D588ED5172
GRAVITY BRIDGE,13,23659696163144,1970-01-01T00:00:00Z,Stakin,gravityvaloper1haznywsf8l60xftvkgl79dstyuw3vw5x0v7kgn,39A518964A9130BA4832C06397E26F0B2C529001
GRAVITY BRIDGE,67,1974663965700,1970-01-01T00:00:00Z,StakeWithUs,gravityvaloper1lc9etukld9c2yhs3y03037ezffyudl0fdd9gny,D1173DB0442EB3B5C131AF265B80ECAC5C27F49C
GRAVITY BRIDGE,43,5516025864621,1970-01-01T00:00:00Z,polkachu.com,gravityvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pskxg9g,F428DA746A8F14B5C25D523F943F64504713D27D
