chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
BAND,,bandvalcons1vefem6raepx97fft6ntdd8jf5fstl5ggw8lml3,0,2,2021-02-18T00:02:08.433140089Z,False,2
BAND,ICON Foundation,bandvalcons1d8yx45ks3kgcfmedsxxv0dahnfuywt64ys9nvj,0,2561971,2022-08-13T15:40:51.962292422Z,False,1219
BAND,,bandvalcons1wgqe74ygevyguq70q2stt66egttf9ypqm7a50k,0,2,2022-04-26T09:27:30.613909302Z,False,2
BAND,Bi23 Labs,bandvalcons1wvug8xy4ve97g93jycmsu2hnyerqjgludxvda7,255575,9420781,2021-11-28T14:04:03.852812993Z,False,420
BAND,,bandvalcons1wjszdlcq4gvulaurgl5tmypcsglymd3yfd5as3,0,2,2020-10-15T13:29:43.971461066Z,False,2
BAND,,bandvalcons10fgdcx9kkqjc07v9s9d2962j9jadkfsqucq0gz,0,1137985,2020-09-20T10:02:38.386798223Z,False,47
BAND,,bandvalcons1077ykwfcjh2f0uwa3k73m4zc2jwmfefr80v08v,0,2,2020-09-17T15:45:48.141365947Z,False,2
BAND,,bandvalcons1sfgv7wr05gdun2aas63hamyctk2ncx6x8u74xk,248531,2,2022-01-13T01:26:36.579204449Z,False,2
BAND,,bandvalcons1svfzupzu3lwdglec0nsfqf9wrmmhguy40u4frj,0,2,2020-10-15T13:29:43.971461066Z,False,2
BAND,,bandvalcons13y9ltjfjd8zk3jftc0f79wfxc3w0y7rrdm5vqd,4302253,2,2022-07-25T04:24:14.578640158Z,False,2
BAND,blockscape,bandvalcons13cykwnrhusl5f5qv0da5nh8a0xgf89r7zfk0j6,0,776921,2022-10-19T15:37:11.031181280Z,False,361
BAND,,bandvalcons13lgtele6p76r774phe09nh67zh2dx9gpl8c3n9,0,2,2020-12-22T13:55:36.119988674Z,False,2
BAND,,bandvalcons1jykm8ysjd0xdy2pcaksf7h79w3nxtmupy5k0df,0,2,2022-06-22T06:55:51.206394443Z,False,2
BAND,,bandvalcons1jvzgcke5fjz87uxq8kcqzqplsxchmeyy0835zz,0,4753047,2021-07-29T17:26:16.665132522Z,False,53
BAND,,bandvalcons1jdl7v5kznqdmugl9t6zxkpx9xlcuaklnuatl8y,3089540,2,2022-06-11T06:08:03.034865453Z,False,2
BAND,,bandvalcons1j04xzf3zgs5psjzm3hk6etfh5lafuyayc3xsy0,4596613,2,2022-04-22T15:58:42.158359512Z,False,2
BAND,,bandvalcons1j4f8gkp20423reetahqnq9l7sh72zjj0cnyzc4,0,611652,2020-12-23T16:00:04.403159334Z,False,118
BAND,Huobi,bandvalcons1nrydzp228yjfqqlq3e6z3zfrnqynfnuns6k7lv,0,20634704,2020-10-15T13:29:43.971461066Z,False,101
BAND,,bandvalcons1nvnj49qcaj4yfrgx69hfsaxjvt3gj9a987ndtk,2401787,2,2022-01-27T01:54:18.760104010Z,False,2
BAND,,bandvalcons1nnsmh8h8p4kdsdyv3tujz7g6tvhed40glkm2yf,0,12779030,2021-05-10T09:02:41.270095843Z,False,576
BAND,,bandvalcons1nk7agd8z92e9pvsctkjqcz5eewvzn9ad4wt7hj,0,2,2021-08-19T16:52:02.574127035Z,False,2
chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
BITCANNA,,bcnavalcons1q88df0wmh27fc4zjwjuc4chgu30hxn06778lfu,551395,2,2022-05-02T09:41:34.539157426Z,False,2
BITCANNA,,bcnavalcons1q8w9e9k9x3wyv6ck3zfe2250lrjgvqdhmnzrss,349205,2,2022-11-08T15:56:01.098818946Z,False,2
BITCANNA,,bcnavalcons1q248wpqn4pqkn708slytqh4swq7t8f8022v65r,4997039,2,2022-10-11T06:13:53.347067639Z,False,2
BITCANNA,,bcnavalcons1qsdewf93fty7p6lruhtnw0qjn0rmfn0pgdmc02,1318381,2,2022-02-21T05:03:35.306904844Z,False,2
BITCANNA,,bcnavalcons1q5u7kguq77tc5hpw2hrs6776gkm0vjjjn24pnv,3144932,2,2022-06-15T23:18:36.611218939Z,False,2
BITCANNA,,bcnavalcons1q7d35wlmgnglcmxh08cgr6lqyjxt3fky98s38f,255795,2,2022-06-03T08:46:36.432803746Z,False,2
BITCANNA,,bcnavalcons1pzn08zsdcfuzgxcvgxnchvqahdmwsqrwyetrct,4999020,2,2022-11-09T16:27:33.401209898Z,False,2
BITCANNA,,bcnavalcons1p3ny04uarh3v4j6fk6lzd6zn8d5hcxtwuvp89y,526106,2,2021-12-17T20:12:17.230538466Z,False,2
BITCANNA,,bcnavalcons1zzsqczm0g9gatra62n5eldjz7f7pv5zgvtkcl2,441315,2,2022-07-02T04:00:16.497800138Z,False,2
BITCANNA,,bcnavalcons1zwkyw77grfkjmuzdkm32z2ve9jc2rzjcrnr2x8,378560,2,2022-11-08T16:07:33.754075348Z,False,2
BITCANNA,,bcnavalcons1zj8jekwtvhl376xelwtrqkct4ynr7z6ceqwduu,781167,2,2021-11-25T01:52:16.451342855Z,False,2
BITCANNA,,bcnavalcons1zk2rta35fvr0dljkfh3zyu0tp6y0rm7lva3s2m,255227,2,2022-02-25T17:28:48.434675795Z,False,2
BITCANNA,,bcnavalcons1zhg266yu52f3jj2mgernwl8jawkyq499c355t8,90406,2,2022-08-12T15:30:34.176429126Z,False,2
BITCANNA,,bcnavalcons1zlqcvcv56ghxyltw767ce6h7jrg3rs3xw34lsc,435640,2,2022-04-06T03:17:34.107429220Z,False,2
BITCANNA,NosNode,bcnavalcons1zl7pvgd4lq2kqgjcce6aygvk9k6uv2rncdj9nx,475928,3988680,2022-02-11T01:38:50.253769359Z,False,1138
BITCANNA,Stardust Stakin,bcnavalcons1rwqkd3zhlgy4krjspkf388lrgq5tfsywdjcfws,47281,279126,2022-10-15T17:45:27.278583309Z,False,1
BITCANNA,,bcnavalcons1r0t2k28s09rs6jmy8fapgxcpye99k3h5nx4t20,492703,2,2022-04-26T05:34:34.279564731Z,False,2
BITCANNA,,bcnavalcons1yjafwrf4npyy2x77kts6k0g97zeugryqny7zty,3956064,1323753,2022-08-12T15:30:22.262816571Z,False,0
BITCANNA,,bcnavalcons1yhd74t0vfj3dhh56e79m9cud0puc47hhptnc7t,2021957,2,2022-02-21T18:13:14.377085695Z,False,2
BITCANNA,,bcnavalcons1y6vqnylp5pmryf349lzmk5xtlpwqf0t06rml9m,432149,2,2022-02-25T17:28:54.328753171Z,False,2
BITCANNA,,bcnavalcons19d3d3dgdj4rfqvys8npt6h90ejaamsn9wtzm3u,89713,2,2022-03-25T11:38:30.644010485Z,False,2
BITCANNA,,bcnavalcons19h8nm3ft0u5t6tpuamvqwphnnzx5e2pvzpkwqn,4421898,2,2022-08-12T15:30:28.074288048Z,False,2
BITCANNA,Validator,bcnavalcons19ht0zgw7erl9cxyqdp3qztzk76grxsty4dtaj5,91402,3767444,2022-02-25T17:26:03.173205114Z,False,0
BITCANNA,TJStaking,bcnavalcons1xzmvgmn578fzkpgvcq6g74dqk7ccz0zxh5gw6f,228346,5471048,2021-10-29T06:57:20.993686274Z,False,78
BITCANNA,,bcnavalcons1xs4ah4mlnjmjanpdzxjjfsdzuzr296hrdxrw2a,581420,3822249,2022-02-22T20:13:28.051729975Z,False,574
BITCANNA,,bcnavalcons1x7ehrryrte6fcvqyy8hjqkmszygathku8657ca,4027197,89486,2022-11-08T16:07:58.082429648Z,False,9
BITCANNA,NodeOf Cosmon,bcnavalcons18zarn54sg20qr8azfkhv0v7fhrfd3fert49n86,2510362,37448,2022-11-12T20:19:56.962085874Z,False,104
BITCANNA,,bcnavalcons187kzskkpktfs2rwj2ntqxwnecevk8cczwn2k2l,4042029,2,2022-08-12T15:30:34.176429126Z,False,2
BITCANNA,OtterSync,bcnavalcons1gymx4qzjuuseh77fft26y3c09sw5kka70nqajs,2617794,89603,2022-11-08T16:07:33.754075348Z,False,1
BITCANNA,,bcnavalcons1gl85tw5celsnhxtyydr93xuuwcs7dmdlgcvx45,506467,2,2021-11-05T17:32:48.642692028Z,False,2
BITCANNA,,bcnavalcons1fyvnhuduaajypka75w2fe0eyg8jcsly4fjrnft,303174,2,2021-10-23T03:20:02.034603794Z,False,2
BITCANNA,,bcnavalcons1f9x7w27emwq8ecml3acrflqd0c7u88zff4zsg7,2902018,2,2022-05-28T02:12:34.031436096Z,False,2
BITCANNA,,bcnavalcons1fc69m4q99325lfjfg47tsvuyhqm92nl9ejt3g7,4097609,2,2022-08-03T23:56:27.428728192Z,False,2
BITCANNA,Consensus One,bcnavalcons1f69eukyydx95ha63c73x9gg9ee25s2anmuxh43,452941,3291338,2022-04-02T03:14:59.071846311Z,False,0
BITCANNA,,bcnavalcons12rkvluc36am3edgzll6zrsyqg0gepvp3mq6jhy,527234,2,2022-08-06T21:14:28.382885Z,False,2
BITCANNA,,bcnavalcons12stxw2ehksugjn680x32yh4tr5a2la557xd8u4,144692,2,2022-05-25T00:31:30.034859167Z,False,2
BITCANNA,,bcnavalcons1tzrr96udjf74l5f7cv7r2t7knjrspc5xvym5yx,240953,2,2022-02-25T17:29:05.376630673Z,False,2
BITCANNA,,bcnavalcons1trrspetw0ljdr52w34t6tk8qrxr2nsh9vw0peu,93941,2,2022-11-08T16:07:26.996094426Z,False,2
BITCANNA,,bcnavalcons1tf47k7uf7tj4lmwvv9lk6cpfv8zwg37auh4kjq,2167237,2,2022-03-03T23:50:49.356078033Z,False,2
BITCANNA,,bcnavalcons1v9a6r802uw2eyp8vdt8shkzkgypa6h28mdxq9u,4014063,2,2022-11-08T16:07:58.082429648Z,False,2
BITCANNA,,bcnavalcons1vf34gzrsqfudg7ypgjtkl4amzwrdeawcq50v05,314541,2,2022-04-23T10:23:38.796043534Z,False,2
BITCANNA,,bcnavalcons1v0wyzh5xjcesqkwcj07syutl0y3tk2kr5hu08d,218692,2,2022-11-08T16:07:58.082429648Z,False,2
BITCANNA,,bcnavalcons1vh7y2mq8pf8v0829fnjj6ymvt2y3a7xsvmrs68,782000,96698,2022-11-08T16:06:28.782120326Z,False,47
BITCANNA,maxfoton,bcnavalcons1vewywjtc6w2t92qspgnn4782dswxvrh2mq08vd,4669534,951033,2022-09-11T17:23:30.913624010Z,False,0
BITCANNA,,bcnavalcons1v7lh97glx64ph99m33xre7hl980syd46gjjx29,1099929,2,2022-04-18T14:10:57.350306772Z,False,2
BITCANNA,,bcnavalcons1vlzz5kcunw7j9duhtzkmsc7ur28r0n33qplzdh,2253707,2,2022-03-30T11:51:32.286267099Z,False,2
BITCANNA,,bcnavalcons1vlglq959ccsgu7nnzvvsw8dz2yz5vhmlvuqnmy,479151,2,2021-11-03T20:11:49.557282907Z,False,2
BITCANNA,,bcnavalcons1dmgfntn9n23fth27f8xz0qumpum9wk4artw4f8,242016,2,2021-10-31T01:49:11.755020880Z,False,2
BITCANNA,,bcnavalcons1wxjrjwgwmw4vgdl9hk7smatdg0jd55uxfvvr97,655669,575670,2022-09-23T22:44:12.422898887Z,False,0
BITCANNA,,bcnavalcons1w2qm9l2kuc6fez6x3l05q2hkjsuhjvtdr6re00,90434,2,2021-12-05T14:46:47.498664361Z,False,2
BITCANNA,,bcnavalcons1w6s3w9wupgcaaknsn5wnus8nk4gmgw2duz7nqx,566568,2,2021-11-09T21:56:27.129457036Z,False,2
BITCANNA,,bcnavalcons1096207v9njqd6kx3auw35799q0amyv9h2xrn79,888318,2,2021-12-02T19:22:48.651748876Z,False,2
BITCANNA,KJINC.io,bcnavalcons100xgrqygqz3pflkelg4dg0u9m5fzpq8e8z6l5q,2591540,1356121,2022-08-12T15:30:34.176429126Z,False,0
BITCANNA,,bcnavalcons10svpsmjyh996xqyjmtdhpj8240t4tfjh93pg2r,503312,2,2021-11-05T12:15:55.788977970Z,False,2
chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
BITSONG,,bitsongvalcons1qy4y385cgnzs7kecnqrpf48ka4d9vnk9d3jdfk,4334992,2,2022-07-14T00:49:54.274845422Z,False,2
BITSONG,,bitsongvalcons1qw5jmmyvumzwwg4e75r090794xtvf2wt047syx,3303662,2,2022-02-10T05:18:35.397641307Z,False,2
BITSONG,,bitsongvalcons1z3z9saqa9fp0vpt8p0qm8yxjz2hjvhfev0s7r4,290,1094942,9999-12-31T23:59:59Z,True,0
BITSONG,,bitsongvalcons1zm8fz2wxnsqsl96kw855ayhywa3rvr5k3enh4e,3301833,2,2022-02-09T21:22:42.329440574Z,False,2
BITSONG,,bitsongvalcons1rddm8e9xq9gqu6jfksrf7qrv6479gxrg2yw864,6748181,2,2022-07-12T07:15:19.504896422Z,False,2
BITSONG,,bitsongvalcons1rdkklrv2p0pcmkrj0ue5px2jumy00jk8jchfra,269,2,2021-10-22T05:15:39.623716806Z,False,2
BITSONG,,bitsongvalcons1y4aryelgeeuryl7fqlasezwdm44c3yxa42mlve,6063116,2,2022-09-08T22:33:54.946997328Z,False,2
BITSONG,,bitsongvalcons19vetqsvxkpm5mwn9mv7zcm827zhyr3py8fzczc,0,3041224,2022-04-06T01:09:26.114296483Z,False,0
BITSONG,Masternode24.de,bitsongvalcons1xxrvvdcgqsu56jv58q267k98pepv7av0hg0r0r,784,1977841,2022-06-24T15:04:05.481305010Z,False,18
BITSONG,,bitsongvalcons18gvshkalp5lx39cr2qhqaf7mvy58wyruxyjpnv,385,3453958,2022-03-23T12:14:24.876025983Z,False,0
BITSONG,,bitsongvalcons183zuxcdfcena4tgpqfcjrgf2avcl39vjaa90n3,0,102227,9999-12-31T23:59:59Z,True,6326
BITSONG,,bitsongvalcons1gqehx4zp0k7y37ue4e7dkdqtm73gna9y9443mj,0,2,2022-01-20T21:21:38.901581991Z,False,2
BITSONG,Imperator.co,bitsongvalcons1gz085l2pu0yznwjfxdvcl0wutyyxj6rpa2qsyw,484859,4808429,2021-12-20T08:08:27.878882116Z,False,0
BITSONG,,bitsongvalcons1gf39l9eapww0yd85v4vsqsm9z8sexle6h66k64,4757366,2,2022-03-26T03:45:46.401100660Z,False,2
